from_status,to_status,task_mode,allowed_actor,guard
DRAFT,READY,SIMPLE/COMPLEX,"OWNER,MANAGER,TEAM_LEADER(scope)",Task valid
DRAFT,PENDING_APPROVAL,CONTROLLED,"OWNER,MANAGER,TEAM_LEADER(scope)",Approval request created
PENDING_APPROVAL,READY,CONTROLLED,"OWNER,MANAGER",Approval APPROVED and payload hash matches
READY,ASSIGNED,ALL,"OWNER,MANAGER,TEAM_LEADER(scope)",At least one active assignment
ASSIGNED,ACCEPTED,ALL,SYSTEM,Accepted count >= minimum_accept_count
ASSIGNED,READY,ALL,SYSTEM,All assignments rejected/cancelled
ACCEPTED,IN_PROGRESS,ALL,ASSIGNEE,At least one accepted assignee starts
IN_PROGRESS,BLOCKED,ALL,"ASSIGNEE,TEAM_LEADER,MANAGER,OWNER",Blocker recorded
BLOCKED,IN_PROGRESS,ALL,"ASSIGNEE,TEAM_LEADER,MANAGER,OWNER",Unblocked event recorded
IN_PROGRESS,SUBMITTED,ALL,ASSIGNEE,Completion submission
SUBMITTED,COMPLETED,SIMPLE,"SYSTEM,TEAM_LEADER,MANAGER,OWNER",Auto verification or review passed
SUBMITTED,NEEDS_REVIEW,ALL,SYSTEM,Evidence/manager review required
NEEDS_REVIEW,COMPLETED,ALL,"TEAM_LEADER(scope),MANAGER,OWNER",Review approved
NEEDS_REVIEW,IN_PROGRESS,ALL,"TEAM_LEADER(scope),MANAGER,OWNER",Rework requested
ANY_NON_TERMINAL,CANCELLED,ALL,"TEAM_LEADER(scope),MANAGER,OWNER",Reason required
